J937FU,J937FU,795032988
YBWAB8,EY120B,20125623
YBWAB8,YBWAB8,939247306
EY120B,YQLOTT,772464611
OSZMED,MTF59B,416005302
YBWAB8,EY120B,253048974
MYQOQW,HC9V9L,506617618
OT41NC,YQLOTT,304187815
MYQOQW,J937FU,560540810
JKSU30,HC9V9L,846586545
YQLOTT,YQLOTT,455521828
JKSU30,EY120B,567803113
MYQOQW,J937FU,558446792
OSZMED,EY120B,542033869
MTF59B,J937FU,361321635
YQLOTT,YBWAB8,734940924
EY120B,MYQOQW,650555823
YQLOTT,YBWAB8,741502615
OSZMED,OT41NC,255596828
HC9V9L,J937FU,370020843
YQLOTT,MYQOQW,86157835
MYQOQW,MTF59B,958129640
OT41NC,MYQOQW,864199059
EY120B,HC9V9L,835017791
EY120B,HC9V9L,951498555
JKSU30,YQLOTT,160021169
YQLOTT,YBWAB8,373998216
YBWAB8,YBWAB8,323730598
EY120B,OSZMED,824905526
J937FU,J937FU,441359133
MTF59B,OT41NC,20819827
MTF59B,OT41NC,919145838
MYQOQW,OSZMED,826019090
YBWAB8,EY120B,413823947
OT41NC,YQLOTT,48698902
HC9V9L,YBWAB8,58434415
OSZMED,J937FU,467388902
J937FU,YQLOTT,254055215
MTF59B,HC9V9L,255881041
EY120B,EY120B,866196539
JKSU30,MTF59B,641782861
HC9V9L,MTF59B,252369565
OT41NC,MTF59B,199000309
YBWAB8,YBWAB8,127296518
MYQOQW,YQLOTT,738912801
JKSU30,YBWAB8,146749557
OT41NC,OSZMED,982023162
YBWAB8,MTF59B,860325547
HC9V9L,OT41NC,415025621
EY120B,OT41NC,652543976
YQLOTT,JKSU30,799620844
OT41NC,OSZMED,849666418
EY120B,OT41NC,601499233
YBWAB8,OT41NC,643177475
JKSU30,YBWAB8,189899143
YBWAB8,EY120B,838834662
MTF59B,HC9V9L,389468205
HC9V9L,OSZMED,691294701
OSZMED,MYQOQW,897691080
HC9V9L,MYQOQW,426846442
YQLOTT,JKSU30,162226927
YQLOTT,J937FU,720535485
JKSU30,OT41NC,529486626
OSZMED,YQLOTT,72012038
OSZMED,EY120B,562020776
JKSU30,YQLOTT,553466355
MTF59B,OSZMED,822392840
MTF59B,J937FU,783983279
YQLOTT,MYQOQW,668984328
MTF59B,OSZMED,999213362
JKSU30,OSZMED,600634290
EY120B,MYQOQW,250265086
YQLOTT,MYQOQW,862759187
OT41NC,MYQOQW,890017999
YQLOTT,YBWAB8,313264969
YQLOTT,EY120B,858627109
HC9V9L,MYQOQW,391214836
JKSU30,HC9V9L,688510863
MTF59B,MYQOQW,165409037
HC9V9L,YBWAB8,157074530
YQLOTT,JKSU30,839350731
MTF59B,OSZMED,747677682
HC9V9L,EY120B,351454821
MTF59B,OT41NC,889359349
EY120B,MTF59B,187207951
J937FU,MTF59B,536316356
J937FU,J937FU,297577799
J937FU,YQLOTT,159337578
JKSU30,OSZMED,726824213
OSZMED,MTF59B,816382810
MTF59B,YBWAB8,797212464
OSZMED,YQLOTT,4564064
MTF59B,EY120B,316158989
OSZMED,JKSU30,722214452
OSZMED,J937FU,581340276
OSZMED,J937FU,75156519
HC9V9L,HC9V9L,25899784
YBWAB8,YBWAB8,722519805
HC9V9L,JKSU30,473600779
MYQOQW,J937FU,779281087
JKSU30,YBWAB8,180435944
MYQOQW,MTF59B,368795306
YBWAB8,OSZMED,812496446
OT41NC,J937FU,692386914
EY120B,OT41NC,69854375
MYQOQW,JKSU30,497529297
OT41NC,EY120B,205469176
YQLOTT,J937FU,959872490
JKSU30,OSZMED,108172401
MYQOQW,YQLOTT,101175949
J937FU,OT41NC,875223018
OT41NC,OT41NC,97523160
JKSU30,MTF59B,287187847
YQLOTT,MYQOQW,782543976
YQLOTT,JKSU30,40383493
MYQOQW,MYQOQW,495265779
OT41NC,MYQOQW,298468070
MYQOQW,OT41NC,420687518
J937FU,MYQOQW,796984297
J937FU,HC9V9L,581882154
MYQOQW,J937FU,331492956
MTF59B,OSZMED,878798316
MYQOQW,YBWAB8,14318190
J937FU,OT41NC,668294457
YBWAB8,MTF59B,323070871
YQLOTT,YBWAB8,939470405
OT41NC,OSZMED,287301105
MYQOQW,YQLOTT,951445909
J937FU,OSZMED,701369093
J937FU,J937FU,117276928
EY120B,EY120B,605580791
MTF59B,J937FU,587836616
MTF59B,OSZMED,597450389
YQLOTT,HC9V9L,489618981
JKSU30,EY120B,825103117
HC9V9L,JKSU30,366328542
EY120B,HC9V9L,958694497
JKSU30,MYQOQW,47916169
J937FU,MYQOQW,776988205
YBWAB8,JKSU30,481383315
J937FU,J937FU,982542083
JKSU30,JKSU30,499973970
OT41NC,YBWAB8,826514579
MYQOQW,OT41NC,157472459
OT41NC,J937FU,771041470
YBWAB8,YQLOTT,173893788
OSZMED,J937FU,696039451
OSZMED,OT41NC,147325539
EY120B,J937FU,754461472
MTF59B,YQLOTT,675803332
MTF59B,MYQOQW,832577357
YBWAB8,YBWAB8,991699290
JKSU30,MTF59B,337705423
YQLOTT,JKSU30,194545016
OSZMED,MTF59B,758648787
JKSU30,JKSU30,217586785
OT41NC,MYQOQW,969342178
YQLOTT,YBWAB8,847630832
YQLOTT,HC9V9L,534468930
OSZMED,MYQOQW,220838404
HC9V9L,OSZMED,189260970
YBWAB8,MTF59B,533718748
MYQOQW,J937FU,733994947
JKSU30,J937FU,129640642
MYQOQW,HC9V9L,910559589
HC9V9L,OSZMED,323865067
MTF59B,MTF59B,179531749
MTF59B,MTF59B,402306376
OSZMED,YQLOTT,109177610
HC9V9L,MTF59B,98585270
OT41NC,MTF59B,870024583
OSZMED,MYQOQW,688591204
EY120B,HC9V9L,218637110
YBWAB8,OSZMED,150474605
J937FU,OSZMED,677047365
YQLOTT,JKSU30,821965103
JKSU30,JKSU30,273655156
MTF59B,EY120B,348682306
HC9V9L,YBWAB8,807377280
MTF59B,JKSU30,901044684
OT41NC,OT41NC,67343653
JKSU30,JKSU30,701323806
OT41NC,MTF59B,729414712
MTF59B,EY120B,432482228
JKSU30,EY120B,632078550
JKSU30,EY120B,232794949
OT41NC,JKSU30,354179081
HC9V9L,JKSU30,893183426
OSZMED,EY120B,855448813
OSZMED,EY120B,970565599
OSZMED,J937FU,132407436
EY120B,JKSU30,998085839
OSZMED,YBWAB8,802256244
MTF59B,EY120B,895962580
OT41NC,YBWAB8,366912326
JKSU30,MYQOQW,920106671
MTF59B,MTF59B,593450815
J937FU,YQLOTT,259190241
JKSU30,JKSU30,13901340
YQLOTT,JKSU30,356335033
MYQOQW,YBWAB8,824399069
MTF59B,OT41NC,263689010
J937FU,EY120B,531308271
J937FU,YQLOTT,547865712
OT41NC,YBWAB8,575987157
MTF59B,HC9V9L,31083946
MTF59B,YBWAB8,216089977
EY120B,OSZMED,234050055
